"start_lat","start_lng","member_casual","rideable_type","n"
41.69239,-87.70096,"member","classic_bike",15
41.69239,-87.70096,"member","electric_bike",18
41.69501,-87.59871,"casual","classic_bike",46
41.69501,-87.59871,"casual","docked_bike",8
41.69501,-87.59871,"casual","electric_bike",108
41.69501,-87.59871,"member","classic_bike",11
41.69501,-87.59871,"member","electric_bike",28
41.69921,-87.66892,"casual","classic_bike",26
41.69921,-87.66892,"casual","docked_bike",36
41.69921,-87.66892,"casual","electric_bike",189
41.69921,-87.66892,"member","classic_bike",30
41.69921,-87.66892,"member","electric_bike",100
41.7,-87.7,"casual","electric_bike",94
41.7,-87.68,"casual","electric_bike",186
41.7,-87.68,"member","electric_bike",61
41.7,-87.65,"casual","electric_bike",86
41.7,-87.65,"member","electric_bike",56
41.7,-87.64,"casual","electric_bike",54
41.7,-87.64,"member","electric_bike",49
41.7,-87.63,"casual","electric_bike",33
41.7,-87.63,"member","electric_bike",50
41.7,-87.62,"casual","electric_bike",105
41.7,-87.62,"member","electric_bike",21
41.7,-87.61,"casual","electric_bike",68
41.7,-87.61,"member","electric_bike",34
41.7,-87.6,"casual","electric_bike",118
41.7,-87.6,"member","electric_bike",91
41.7,-87.59,"casual","electric_bike",10
41.7,-87.59,"member","electric_bike",8
41.7,-87.56,"casual","electric_bike",15
41.7,-87.56,"member","electric_bike",9
41.7,-87.54,"casual","electric_bike",69
41.7,-87.54,"member","electric_bike",21
41.7,-87.53,"casual","electric_bike",44
41.7,-87.53,"member","electric_bike",17
41.70012,-87.61226,"casual","classic_bike",43
41.70012,-87.61226,"casual","docked_bike",15
41.70012,-87.61226,"casual","electric_bike",34
41.70012,-87.61226,"member","classic_bike",9
41.70012,-87.61226,"member","electric_bike",14
41.7028,-87.55973,"casual","classic_bike",39
41.7028,-87.55973,"casual","docked_bike",6
41.7028,-87.55973,"casual","electric_bike",51
41.7028,-87.55973,"member","classic_bike",27
41.7028,-87.55973,"member","electric_bike",13
41.70458,-87.52823,"casual","classic_bike",86
41.70458,-87.52823,"casual","docked_bike",25
41.70458,-87.52823,"casual","electric_bike",47
41.70458,-87.52823,"member","classic_bike",52
41.70458,-87.52823,"member","electric_bike",15
41.70459,-87.6812,"casual","classic_bike",109
41.70459,-87.6812,"casual","docked_bike",12
41.70459,-87.6812,"casual","electric_bike",180
41.70459,-87.6812,"member","classic_bike",28
41.70459,-87.6812,"member","electric_bike",64
41.70493,-87.65687,"casual","classic_bike",30
41.70493,-87.65687,"casual","docked_bike",3
41.70493,-87.65687,"casual","electric_bike",143
41.70493,-87.65687,"member","classic_bike",27
41.70493,-87.65687,"member","electric_bike",279
41.70514,-87.64242,"casual","classic_bike",18
41.70514,-87.64242,"casual","docked_bike",4
41.70514,-87.64242,"casual","electric_bike",46
41.70514,-87.64242,"member","classic_bike",37
41.70514,-87.64242,"member","electric_bike",36
41.70531,-87.62922,"casual","classic_bike",19
41.70531,-87.62922,"casual","docked_bike",4
41.70531,-87.62922,"casual","electric_bike",6
41.70531,-87.62922,"member","classic_bike",4
41.70531,-87.62922,"member","electric_bike",3
41.70717,-87.61847,"casual","classic_bike",56
41.70717,-87.61847,"casual","docked_bike",10
41.70717,-87.61847,"casual","electric_bike",91
41.70717,-87.61847,"member","classic_bike",21
41.70717,-87.61847,"member","electric_bike",28
41.70725,-87.60766,"casual","classic_bike",23
41.70725,-87.60766,"casual","docked_bike",14
41.70725,-87.60766,"casual","electric_bike",34
41.70725,-87.60766,"member","classic_bike",12
41.70725,-87.60766,"member","electric_bike",26
41.70958,-87.59023,"casual","classic_bike",1
41.70958,-87.59023,"casual","docked_bike",3
41.70958,-87.59023,"casual","electric_bike",17
41.70958,-87.59023,"member","classic_bike",18
41.70958,-87.59023,"member","electric_bike",81
41.71,-87.72,"casual","electric_bike",134
41.71,-87.72,"member","electric_bike",10
41.71,-87.7,"casual","electric_bike",100
41.71,-87.7,"member","electric_bike",7
41.71,-87.68,"casual","electric_bike",273
41.71,-87.68,"member","electric_bike",46
41.71,-87.67,"casual","electric_bike",319
41.71,-87.67,"member","electric_bike",198
41.71,-87.65,"casual","electric_bike",61
41.71,-87.65,"member","electric_bike",16
41.71,-87.64,"casual","electric_bike",56
41.71,-87.64,"member","electric_bike",20
41.71,-87.63,"casual","electric_bike",40
41.71,-87.63,"member","electric_bike",1
41.71,-87.62,"casual","electric_bike",64
41.71,-87.62,"member","electric_bike",22
41.71,-87.61,"casual","electric_bike",39
41.71,-87.61,"member","electric_bike",31
41.71,-87.6,"casual","electric_bike",201
41.71,-87.6,"member","electric_bike",162
41.71,-87.59,"casual","electric_bike",59
41.71,-87.59,"member","electric_bike",44
41.71,-87.58,"casual","electric_bike",5
41.71,-87.58,"member","electric_bike",3
